Version,Date,Subclass,Gear,Environment,Result,Affects,Detail,ExoticName,Notes
Update 1.0.1,9/7/14,Striker,,Both,Neutral,Jump/Visual,Catapult no longer has screen effects,,
Update 1.0.1,9/7/14,Striker,,PvE,Buff,Melee/Subclass,Shoulder Charge now deals Arc damage instead of Kinetic),,
Update 1.0.1,9/7/14,All,,Both,Unknown,Cooldown,"Adjusted the cooldown ranges of armor stats (Intellect, Discipline, Strength)",,
Update 1.0.1,9/7/14,All,,Both,Unknown,Agillity,Agility now has more impact to move speed and acceleration,,
Update 1.0.1,9/7/14,Striker,,Both,Buff,Grenade/Damage,Lightning Grenade shock damage increased by 66% (base 60 to 100),,
Update 1.0.1,9/7/14,Striker,,Both,Buff,Cooldown/Subclass,Amplify Super bonus-on-kill increased from 6% to 10%,,
Update 1.0.1,9/7/14,Striker,,PvE,Nerf,Grenade,Flashbang no longer disorients ultra combatants,,
Update 1.0.1,9/7/14,Striker,,Both,Nerf,Cooldown/Subclass,Transfusion now has a 5-second cooldown before it can trigger again,,
Update 1.0.1,9/7/14,Striker,,Both,Nerf,Cooldown/Subclass,Juggernaut shield is removed after jumping or sprinting for 6.5 seconds,,
Update 1.0.1,9/7/14,Defender,,Both,Buff,Super,Ward of Dawn now immediately regenerates your health on activation,,
Update 1.0.1,9/7/14,Gunslinger,,PvP,Nerf,Super/Subclass,Golden Gun is now unable to overpenetrate through a Ward of Dawn shield,,Honetstly I'm not sure if this would apply to PvE. Even if it would I doubt it would have any significant impact on PvE. Tagged as 'Subclass' since I assume the 'Keyhole' perk was required for overpenetration 
Update 1.0.1,9/7/14,Gunslinger,,Both,Nerf,Grenade/Damage,Incendiary Grenade detonation damage reduced by 18% (base 140 to 115),,
Update 1.0.1,9/7/14,Gunslinger,,Both,Buff,Reload/Subclass,"Chain of Woe now grants an additional 5%, 10%, 15% bonus to reload speed",,
Update 1.0.1,9/7/14,Gunslinger,,Both,Buff,Duration/Subclass,Gunslinger's Trance buff duration increased from 10 to 15 seconds,,
Update 1.0.1,9/7/14,BladeDancer,,Both,Nerf,Grenade/Damage,Arcbolt Grenade impact damage reduced by 17% (base 120 to 100),,
Update 1.0.1,9/7/14,BladeDancer,,Both,Nerf,Super/Subclass,Razor's Edge distance traveled slowed and reduced,,
Update 1.0.1,9/7/14,BladeDancer,,Both,Buff,Melee/Subclass,Quickdraw now no longer requires a melee hit,,
Update 1.0.1,9/7/14,BladeDancer,,Both,Nerf,Jump/Subclass,Blink now cancels invisibility when used,,
Update 1.0.1,9/7/14,VoidWalker,,Both,Nerf,Super/Subclass,Nova Bomb Vortex duration reduced from 5 to 3.5 seconds,,
Update 1.0.1,9/7/14,VoidWalker,,PvP,Nerf,Super/Subclass,Nova Bomb Vortex effects now has displays for its victims,,I don't really know what this means but I'm assuming that it helps your victim realize they are in the vortext so I'm calling this a Nerf.
Update 1.0.1,9/7/14,VoidWalker,,Both,Buff,Melee/Subclass/Damage,Energy Drain impact damage increased by 10% (base 100 to 110),,
Update 1.0.1,9/7/14,VoidWalker,,Both,Buff,Melee/Subclass/Cooldown,Soul Rip super bonus on kill increased from 6% to 10% bonus,,
Update 1.0.1,9/7/14,VoidWalker,,Both,Nerf,Grenade/Damage,Vortex Grenade linger damage reduced by 50% (base 15 to 10) per tick,,
Update 1.0.1,9/7/14,VoidWalker,,Both,Buff,Melee/Subclass/Reload/Handling,Surge now grants a bonus to reload and weapon-ready speed,,
Update 1.0.1,9/7/14,VoidWalker,,Both,Buff,Melee/Subclass,Surge now activates when doing damage to an enemy instead of killing blow,,
Update 1.0.1,9/7/14,VoidWalker,,Both,Buff,Melee/Subclass/Agility,Surge agility buff increased by 33% (base 10 to 13),,
Update 1.0.1,9/7/14,SunSinger,,Both,Nerf,Grenade/Damage,Firebolt Grenade impact damage reduced by 20% (base 100 to 80),,
Update 1.0.1,9/7/14,SunSinger,,Both,Buff,Melee/Subclass,Flame Shield now activates when doing damage to an enemy instead of killing blow,,
